semester,category,number,name,credit
1102,G,460135,錄音實務與音樂創作,3.00
1102,G,991040,戲劇與人生,2.00
1102,G,991065,音樂與生活,2.00
1102,G,991166,微電影剪輯與製作,3.00
1102,G,991170,文人畫美學與習作-山水,3.00
1102,G,991193,日本文化與美學,3.00
1102,G,991203,繪畫、電影與文化,3.00
1102,G,991209,饒舌音樂製作,3.00
1102,G,991211,當代藝術與社會,2.00
1102,G,991032,戲劇欣賞,2.00
1102,G,991062,俗文學欣賞,2.00
1102,G,991069,兒童繪本藝術,2.00
1102,G,991167,從電影看世界,3.00
1102,G,991183,書法-楷書概論與習作,3.00
1102,G,991201,網路社群與多媒體製作,3.00
1102,G,991207,茶生活藝術,2.00
1102,G,991210,歌唱戲劇實務,2.00
1102,G,992176,原住民文學,3.00
1102,H,991068,現代世界的興起,3.00
1102,H,991075,與哲學家對話,3.00
1102,H,991140,西洋哲學史,3.00
1102,H,991163,世界城市和台灣地方,3.00
1102,H,991199,文化資產再生與創意應用,3.00
1102,H,992073,哲學概論,2.00
1102,H,992171,正念減壓與生活藝術,2.00
1102,H,994044,賽德克族傳統的農事與祭儀,3.00
1102,H,991071,中國文化導論,3.00
1102,H,991087,台灣電影與社會文化,2.00
1102,H,991144,倫理學的理論與應用,2.00
1102,H,991181,地方達人：考古遺址與史前文化,1.00
1102,H,991212,恐懼的本質與當代文化-跨文化作品選讀,2.00
1102,H,992087,台灣歷史與文化,2.00
1102,I,984003,全球議題與國際發展,2.00
1102,I,992108,政治及財經新聞解讀,2.00
1102,I,992178,情緒覺察與能量平衡,2.00
1102,I,992180,大學生與台灣公民社會,2.00
1102,I,992188,樂在耆中：在地老化社區參與,3.00
1102,I,992218,媒體識讀與資訊整合,3.00
1102,I,992076,教育家圖像,2.00
1102,I,992112,國際文教概論-歐美篇,3.00
1102,I,992179,大學生活與法律,2.00
1102,I,992185,地方達人-生態城鎮,1.00
1102,I,992206,憲法概論,2.00
1102,I,992234,決策思考力,3.00
1102,J,510020,非營利組織及社區參與,2.00
1102,J,992033,台灣社會問題剖析,2.00
1102,J,992062,從經濟學看世界,2.00
1102,J,992120,國際禮儀與商務溝通技巧,2.00
1102,J,992141,財務報表與企業經營,3.00
1102,J,992177,人類學的影像世界,3.00
1102,J,992193,地方達人-咖啡產業與飲調,1.00
1102,J,992205,不動產投資與交易實務,3.00
1102,J,992213,數位金融與生活,3.00
1102,J,992216,競技運動團隊經營與管理策略,2.00
1102,J,992223,韌性社區實作,3.00
1102,J,993008,運動與壓力管理,2.00
1102,J,991094,台灣民間信仰,2.00
1102,J,992035,全球化現象導論,2.00
1102,J,992110,個體經濟焦點,2.00
1102,J,992135,資訊、經濟與社會生活,2.00
1102,J,992143,性別與社會,2.00
1102,J,992191,當代城鄉與社會空間,3.00
1102,J,992203,金融市場新聞選讀與解析應用,3.00
1102,J,992209,鄉村長期照顧與社會創新,3.00
1102,J,992214,運動場館營運規劃設計評估與實作,2.00
1102,J,992217,地方學：經濟與產業,3.00
1102,J,992232,探索觀光與餐旅,2.00
1102,J,994041,夢與自我探索,3.00
1102,K,993023,安全與衛生概論,2.00
1102,K,993055,工程倫理,2.00
1102,K,993064,數學遊戲,3.00
1102,K,993116,野趣創客,2.00
1102,K,993143,JavaScript,A101
1102,K,993052,Python,A207
1102,K,993060,生活安全與防災概論,2.00
1102,K,993075,尖端科技通俗講座,3.00
1102,K,993120,生活藝術與科技,3.00
1102,K,993157,資料分析與視覺化,2.00
1102,L,510003,醫療經濟資料庫建置與分析,2.00
1102,L,993002,急救醫學,2.00
1102,L,993022,城鄉生態,2.00
1102,L,993066,淺談化學材料,3.00
1102,L,993093,癌症預防與治療,2.00
1102,L,993126,地方達人：新農業發展,1.00
1102,L,993132,運動生理學(下),2.00
1102,L,993137,社區保育與調查技術,3.00
1102,L,993001,運動與健康,2.00
1102,L,993013,生態旅遊與城鄉自然資源規劃,3.00
1102,L,993054,醫藥與健康,2.00
1102,L,993086,輻射與環境,2.00
1102,L,993106,圖解生命原理,3.00
1102,L,993131,聯合國永續發展目標,2.00
1102,L,993133,運動防護,2.00
1102,L,993145,生物化學與日常,2.00
1102,M,992106,東南亞社會文化,2.00
1102,M,994030,東南亞經濟及法律閱讀,3.00
1102,M,994098,東南亞街區探究與設計思考,3.00
1102,M,994102,中南半島諸國的影像敘事,3.00
1102,M,994108,甘美朗進階與跨領域音樂創作,3.00
1102,M,994110,緬甸的社會文化,3.00
1102,M,994010,東南亞教育制度,2.00
1102,M,994096,東南亞宗教與社會,3.00
1102,M,994099,東南亞街區探究與遊戲設計,3.00
